tract,population,people per household,median income per household,mean income per household,income per capita,geometry
0003-E,1585,3.24,5881,,,"POLYGON ((-90.29548810863272 38.61284950769249, -90.29605371638432 38.61345225250437, -90.29572179852561 38.61532828557552, -90.29418864143078 38.6212618478222, -90.29527800286775 38.62092640024735, -90.30790211019033 38.61691100010937, -90.31014808750903 38.61616492628126, -90.31194212727482 38.61535746308319, -90.31261602409197 38.61395907081159, -90.31309425867475 38.61267958216527, -90.31319963618435 38.61222535526699, -90.3135759791047 38.61141578323945, -90.31371897639954 38.6109441163546, -90.314002443935 38.61047494758536, -90.31427601325038 38.60973458016213, -90.31134250579316 38.60940513506944, -90.31095169019912 38.60928065291434, -90.31017849119296 38.61053287470331, -90.30733610096789 38.60909949221688, -90.30579893037262 38.61090051165419, -90.30506744573428 38.61155084054732, -90.30324220193023 38.61292013624249, -90.30237078351755 38.61350742869296, -90.30168477246774 38.61348812602169, -90.30007120990511 38.6124735962333, -90.29937125292163 38.61233831465214, -90.29845094294102 38.61237379451375, -90.29593113940427 38.61265485918915, -90.29548810863272 38.61284950769249))"
0003-F,2044,3.29,6158,,,"POLYGON ((-90.28085507281972 38.61693997060243, -90.28102512613714 38.61874692579299, -90.28018284672663 38.62317513621133, -90.28389408527771 38.62291527785025, -90.29142234185672 38.621970106649, -90.29191330979683 38.6219378009782, -90.29417995952033 38.62123581768778, -90.29567700286242 38.61544535307388, -90.29604435933956 38.61345606609345, -90.29548827334011 38.61285605146485, -90.29522845547153 38.61294515887795, -90.28385524613263 38.61182054704757, -90.28284535398286 38.61715632233769, -90.28085507281972 38.61693997060243))"
0003-G,4162,2.95,5748,,,"POLYGON ((-90.29190404293266 38.60196615756399, -90.29182651558266 38.60239851979021, -90.29136135817615 38.60396254060667, -90.2909921937558 38.60455302693902, -90.29028359018741 38.60529650941437, -90.28949523764429 38.60614257728288, -90.28897231479554 38.60698320608192, -90.28562196530333 38.60664926645863, -90.28459589930279 38.61188215625546, -90.29525966066606 38.61294752164048, -90.29592984500304 38.61265448128358, -90.29632457645215 38.61260321356025, -90.29683318881952 38.60950377516586, -90.2958559619147 38.60943427318409, -90.29675740729323 38.60478311564449, -90.29703212392138 38.60471992393018, -90.29735188881261 38.60457950461809, -90.29780412574274 38.60422257110794, -90.29888466975238 38.60268712222081, -90.29190404293266 38.60196615756399))"
0004-A,4699,3.09,5835,,,"POLYGON ((-90.31193722892348 38.61534558816516, -90.31151094509077 38.61554071962829, -90.31025389354507 38.61613302774056, -90.30889073257482 38.61660162602914, -90.3066725488531 38.61730834212936, -90.29710146375047 38.62034225446291, -90.29527256548377 38.62092263119077, -90.29577992328785 38.62179047349081, -90.29661630619991 38.62256816245131, -90.29759598830718 38.62397464680272, -90.29898137750791 38.62463241915961, -90.29972868883917 38.62484720172772, -90.30106509586211 38.62507310229178, -90.30126827689661 38.62577766182253, -90.30133554262908 38.62619155527351, -90.30204799211786 38.6262803579906, -90.30557674567658 38.62665754538713, -90.30717139440009 38.62674448880874, -90.30914032828559 38.6269334887894, -90.30919546369917 38.62555778701424, -90.30952229791201 38.62416316623828, -90.30971522649496 38.62314434719291, -90.3100180279388 38.62224834343033, -90.31068396790599 38.6182129340319, -90.31103149879046 38.61764922816948, -90.31193722892348 38.61534558816516))"
0004-B,5858,2.96,5940,,,"POLYGON ((-90.30911764302793 38.62693995391029, -90.30716543824256 38.62674910466296, -90.30616939543869 38.62669431140959, -90.30559248628788 38.62666011913448, -90.30419791389983 38.62652234691389, -90.30132827147344 38.62619994247864, -90.301068649868 38.62508499948413, -90.29977211536253 38.6248709667783, -90.29896276645022 38.62462719214684, -90.29759630625442 38.62399247606673, -90.29659611624373 38.62256516932803, -90.29579003512073 38.62179763938752, -90.2952639196963 38.62093578100589, -90.29421250236901 38.62123954039386, -90.29393709506967 38.62270370027831, -90.29310441096665 38.62721549470657, -90.29241597206799 38.63147942272396, -90.29769827049716 38.63201291118121, -90.30044511256951 38.63224857311494, -90.304508617818 38.63264261717619, -90.3055732616377 38.63325479866184, -90.30565753404939 38.6334867882207, -90.30630425105205 38.63357893598858, -90.30680973344674 38.63293554885838, -90.30790453243485 38.63205556180156, -90.30869964988777 38.63010537957708, -90.30883455061196 38.62954546765493, -90.30880602794502 38.62884979474101, -90.30911764302793 38.62693995391029))"
0004-C,3699,2.89,4528,,,"POLYGON ((-90.27926632752383 38.63020194790313, -90.29241011547633 38.63146530284706, -90.29420677574457 38.62126614356546, -90.29415739226823 38.6212332552643, -90.29191072625468 38.62193563714013, -90.29010249139527 38.62217792532331, -90.28378983245368 38.62292836743367, -90.28018391618356 38.62317281720197, -90.27926632752383 38.63020194790313))"
0004-D,559,2.71,4045,,,"POLYGON ((-90.264553504603 38.62875136551046, -90.2792424842746 38.6301958936882, -90.28018571683364 38.62317286739544, -90.27215908503302 38.62407705804258, -90.27099877599582 38.62413863993945, -90.26932004994147 38.62404732858705, -90.26828454949575 38.62390181811912, -90.26619021219501 38.62344235597266, -90.26586506976659 38.62328023246155, -90.26553448550968 38.62325347995132, -90.26498488928375 38.62588919399952, -90.264553504603 38.62875136551046))"
0005-A,4460,2.63,5269,,,"POLYGON ((-90.30631059724091 38.63358616589395, -90.30565106939878 38.63348356230759, -90.30558063496125 38.6332745693036, -90.30450953943807 38.63264873079012, -90.30406721345076 38.63428747437613, -90.30392062364372 38.63479774396984, -90.30365522469351 38.63622519677469, -90.30334122794518 38.63843151014169, -90.30282538076409 38.64096485850099, -90.30232937956275 38.64249564741488, -90.30160045515437 38.64445386793722, -90.30134416921027 38.64540730448005, -90.30093810606758 38.64755356710694, -90.30070268627256 38.6493159631038, -90.30059664294765 38.64996014427473, -90.29752391906565 38.64964697711878, -90.29448509480598 38.64935118786208, -90.29382344543494 38.65341703352032, -90.29413957758187 38.65401297322593, -90.29461481788928 38.65494614692454, -90.29416219272883 38.65491154495776, -90.29495240617133 38.65645252584787, -90.29617341441406 38.6588511584375, -90.29669743523588 38.65997906078242, -90.29690610552574 38.6609546128127, -90.29703052564184 38.66152517639068, -90.29745793073364 38.66099775687235, -90.29705623402512 38.66097146713176, -90.29837455515541 38.65936632287259, -90.30012940576701 38.65734499531731, -90.30179791534188 38.65554940245164, -90.30188670747964 38.65505472661219, -90.30212716232361 38.6547710906151, -90.30282399361437 38.65024066878842, -90.30260898847565 38.6498776663675, -90.3027713067394 38.64597582536889, -90.30364888560663 38.64502727928588, -90.30441039030801 38.64353898307085, -90.30486723450738 38.64145284126574, -90.30514458001072 38.63982018821434, -90.30550361737295 38.63859598984022, -90.30557665425574 38.63778262871988, -90.30560689997064 38.63640855909368, -90.30586818390177 38.63560390167958, -90.30602869542726 38.63446294457317, -90.30631059724091 38.63358616589395))"
0005-B,6247,2.4,4459,,,"POLYGON ((-90.29448438329942 38.64936758478635, -90.30057094696141 38.64994391427088, -90.30092248520322 38.64762653698737, -90.29142424135671 38.64665458842146, -90.28563582784346 38.64611543122984, -90.2852429773893 38.64867283750882, -90.28295722433421 38.6484402775498, -90.28251299559035 38.65105344107867, -90.28212240249904 38.6534613062925, -90.28207884115065 38.65372538444747, -90.28676173896068 38.65420204345593, -90.29055464829604 38.65456954913666, -90.29415595087174 38.65491064611013, -90.29462790418478 38.65492934157098, -90.29379321236975 38.65339396174895, -90.29448438329942 38.64936758478635))"
0005-C,7637,2.54,4142,,,"POLYGON ((-90.2819794539942 38.65487909483213, -90.27893969756087 38.65459343214625, -90.27835719559826 38.65811135056379, -90.28601378859838 38.65888062446382, -90.28571626040126 38.66087474670476, -90.29479872049029 38.66184125288773, -90.2952366467354 38.66154851293572, -90.29550140950381 38.66135100233021, -90.29561507006689 38.66117040282228, -90.29578883318615 38.66090203117928, -90.29612453897131 38.66005346765603, -90.29645167462679 38.65946031539934, -90.29417047133902 38.65495928739551, -90.28211954576673 38.6538097665366, -90.2819794539942 38.65487909483213))"
