tract,population,people per household,median income per household,mean income per household,income per capita,geometry
1011,4166,3.23,10338.0,10184.0,3153.0,"POLYGON ((-90.27154260702773 38.55310084267973, -90.26428451124077 38.5537267343766, -90.26578981316631 38.55458637382806, -90.26150613473138 38.5578944675235, -90.26713107726303 38.56083640396366, -90.27286209768702 38.55577829340368, -90.27393713536053 38.5560935948513, -90.27741950022623 38.55618803383101, -90.27896103724277 38.55661400345087, -90.28306825089233 38.55967491455972, -90.28693070511625 38.55556039504258, -90.28626605074197 38.55523297163823, -90.2851478525224 38.55482249852418, -90.284339065957 38.55441396191766, -90.28357076650255 38.5539610972973, -90.28254684905647 38.5532964200569, -90.2816471618217 38.55260466366857, -90.28062223504976 38.55205139074, -90.28016251903701 38.55179980048105, -90.2796319772561 38.55126467985401, -90.2789135238294 38.55086164302726, -90.2776109248548 38.55025637563937, -90.27559650369631 38.54973942577929, -90.27509825075299 38.54944673854021, -90.27381931268005 38.54918659413262, -90.27348701065549 38.54887079246653, -90.27303536733325 38.54874740935335, -90.27226894644538 38.54883003593829, -90.27154260702773 38.55310084267973))"
1012,4436,2.99,10624.0,11316.0,3785.0,"POLYGON ((-90.28308196184248 38.55967338340729, -90.27893108876285 38.55660058060077, -90.27733470647465 38.55618065140661, -90.27392397459722 38.55609122695132, -90.27286122061824 38.55580088372305, -90.26713610893552 38.56083816654112, -90.27299055269786 38.56389234944562, -90.269737233802 38.56774139279709, -90.27374513270574 38.56982867864493, -90.28308196184248 38.55967338340729))"
1013,5836,2.67,9446.0,14008.0,5246.0,"POLYGON ((-90.26974240190469 38.56773261123722, -90.27296989647958 38.56390198200216, -90.25930391826094 38.55676443868909, -90.25873176913008 38.55747907259057, -90.25804821556267 38.5582540890261, -90.25729735184575 38.55894925179692, -90.25655376930283 38.55949226565858, -90.25585613775733 38.55988817604494, -90.25521461050093 38.56019374496801, -90.25960084250156 38.56247282812967, -90.25440973796083 38.56854842643553, -90.26911360190917 38.57631380188137, -90.26955330036958 38.57515586415415, -90.27096050367645 38.57294549684899, -90.27146833871149 38.57233163856417, -90.27374684904726 38.5698372028099, -90.26974240190469 38.56773261123722))"
1014,4138,2.82,7677.0,8343.0,2959.0,"POLYGON ((-90.25438958028666 38.56849012225171, -90.25956679301454 38.56248022290877, -90.25521778795265 38.56019102340022, -90.25655106183328 38.55948285073874, -90.2572710551571 38.55894680851274, -90.25802676731527 38.55824861431939, -90.25865522938007 38.55752747972072, -90.25928314238062 38.55676901209531, -90.25599822087808 38.55503052607403, -90.2519174480007 38.55844123729639, -90.24878640682499 38.56208979095976, -90.24699599779323 38.56260713563947, -90.24603251921839 38.56409026400442, -90.25438958028666 38.56849012225171))"
1015,4516,2.85,6855.0,7303.0,2562.0,"POLYGON ((-90.25708634813786 38.54815416248399, -90.26097947425498 38.55065141963652, -90.25613521047588 38.55511008360978, -90.26149385362679 38.55789588755655, -90.26577092481806 38.55460045357129, -90.26424482035544 38.55371655598768, -90.27153671344644 38.55308750722416, -90.27226928680922 38.54883292600202, -90.27304787962487 38.54875483647361, -90.27228961748442 38.54750540938571, -90.27211647677832 38.54655553921289, -90.27183662647975 38.54591380346621, -90.27172735341104 38.54569147581614, -90.27150753930904 38.54448819282614, -90.27101964792676 38.5432447760995, -90.27079817914824 38.54295155719451, -90.27049590146578 38.54144519794878, -90.27111527405306 38.54065537506171, -90.27149431244338 38.53962892945326, -90.27071481122319 38.53865800791226, -90.26942069645531 38.53775539283772, -90.26915648038657 38.53753806479271, -90.25708634813786 38.54815416248399))"
1016,1345,2.95,6407.0,8618.0,2921.0,"POLYGON ((-90.26915499761678 38.53753755429791, -90.26870957535161 38.53715534173898, -90.26692284487862 38.53416198600583, -90.26230749513253 38.53387771529491, -90.26086398957995 38.53323084502843, -90.25912556639126 38.53526737441336, -90.25860870124018 38.53558803741531, -90.25756471836739 38.53730004681227, -90.25728099796017 38.53792915270719, -90.25692222512586 38.53814055154722, -90.25628953743862 38.5389335192046, -90.25555414754503 38.53952167261528, -90.25533541888356 38.54020615852941, -90.25480717054161 38.54090788042613, -90.25440618148799 38.54136645948477, -90.2539145247955 38.54206635602436, -90.25292662804029 38.54356668057449, -90.25274354511195 38.54395246001736, -90.25317943275842 38.54428435117385, -90.25790486848297 38.54743936651027, -90.26915499761678 38.53753755429791))"
1017,4441,2.79,6861.0,7101.0,2545.0,"POLYGON ((-90.26096427828082 38.55065753674489, -90.25709311834642 38.54815859776003, -90.25789177052231 38.54743981105728, -90.25272255072863 38.54396503838387, -90.2523045633675 38.54477702763772, -90.25240747968189 38.54510071808206, -90.25226965483022 38.5453499855042, -90.25234699405431 38.54610539360073, -90.25160549790822 38.54759314406533, -90.25071187845451 38.54830854164222, -90.25015759278564 38.54929043165869, -90.25015412347696 38.54990096532541, -90.24911113520295 38.55106667946173, -90.24653676730571 38.55375404824239, -90.24539927750284 38.55528960647627, -90.24520107506513 38.55598509699093, -90.24281187600504 38.55848172987927, -90.24188038100712 38.55946773670725, -90.24316340979814 38.5602813275971, -90.24667775741473 38.56213335275401, -90.24700196098243 38.56260101600526, -90.24877874177255 38.56207655567254, -90.26096427828082 38.55065753674489))"
1021,3564,2.08,7579.0,8422.0,4049.0,"POLYGON ((-90.29695291102263 38.56242016011525, -90.29417175546111 38.56426588420547, -90.28627595223023 38.56906798012706, -90.28508779296956 38.57011918791439, -90.29171554161447 38.57376730948079, -90.3104500967724 38.5756786152337, -90.3072325361214 38.57257793649934, -90.30519438695737 38.57062354657848, -90.30387964362482 38.56920316742469, -90.29695291102263 38.56242016011525))"
1022,8274,2.67,9300.0,11491.0,4304.0,"POLYGON ((-90.29171679157318 38.57378702837025, -90.28509209448461 38.57014437799936, -90.2837902891301 38.57131378596782, -90.28456288208352 38.5738561848756, -90.28315225301721 38.57677278220685, -90.28217275934672 38.57843608778142, -90.28159785460285 38.57901104776219, -90.28087248575065 38.5794014553692, -90.27983788719963 38.57986030293603, -90.27936520829903 38.58028262178728, -90.27885840476236 38.58095803567129, -90.28520178300273 38.58160720542238, -90.29193023954903 38.58229916168641, -90.2958125230776 38.5816216124057, -90.31079374764025 38.58314106145139, -90.31132154542766 38.5846397089934, -90.31217227816036 38.58598601579197, -90.31307385528663 38.58693867508739, -90.31621213126853 38.58474377173432, -90.31490555063445 38.58204901961738, -90.31470629966419 38.58155233432551, -90.31442080088638 38.58116117230477, -90.31397737262486 38.57966250392818, -90.31356152671174 38.57877530429899, -90.31043515850938 38.57566710460576, -90.30063210121943 38.57467284686123, -90.29171679157318 38.57378702837025))"
1023,2771,2.81,9847.0,9474.0,3372.0,"POLYGON ((-90.28693547569112 38.55557347174546, -90.28306393595295 38.55970610710402, -90.27721737982945 38.56604890600047, -90.28038499572777 38.56731465875478, -90.28520204481478 38.57000759531683, -90.28628461801794 38.56904984683494, -90.29073404075845 38.5663466071471, -90.29415653097405 38.56426234386331, -90.29585850920144 38.56310618480287, -90.29696118268197 38.56240893011596, -90.29327556017746 38.55963613160497, -90.29242197286547 38.55897548473521, -90.28693547569112 38.55557347174546))"
