tract,population,people per household,median income per household,mean income per household,income per capita,geometry
1011.0,2600,2.26,,,,"POLYGON ((-90.27154260702773 38.55310084267973, -90.26598247493479 38.55352413774273, -90.26711932031355 38.55419512511956, -90.26230169346836 38.55834240105274, -90.26713107726303 38.56083640396366, -90.27286209768702 38.55577829340368, -90.27393713536053 38.5560935948513, -90.27741950022623 38.55618803383101, -90.27896103724277 38.55661400345087, -90.28306825089233 38.55967491455972, -90.28693070511625 38.55556039504258, -90.28626605074197 38.55523297163823, -90.2851478525224 38.55482249852418, -90.284339065957 38.55441396191766, -90.28357076650255 38.5539610972973, -90.28254684905647 38.5532964200569, -90.2816471618217 38.55260466366857, -90.28062223504976 38.55205139074, -90.28016251903701 38.55179980048105, -90.2796319772561 38.55126467985401, -90.2789135238294 38.55086164302726, -90.2776109248548 38.55025637563937, -90.27559650369631 38.54973942577929, -90.27509825075299 38.54944673854021, -90.27381931268005 38.54918659413262, -90.27348701065549 38.54887079246653, -90.27303536733325 38.54874740935335, -90.27226894644538 38.54883003593829, -90.27154260702773 38.55310084267973))"
1012.0,3100,2.16,,,,"POLYGON ((-90.28308196184248 38.55967338340729, -90.27893108876285 38.55660058060077, -90.27733470647465 38.55618065140661, -90.27392397459722 38.55609122695132, -90.27286122061824 38.55580088372305, -90.26713610893552 38.56083816654112, -90.27299055269786 38.56389234944562, -90.269737233802 38.56774139279709, -90.27374513270574 38.56982867864493, -90.28308196184248 38.55967338340729))"
1013.0,4336,2.14,,,,"POLYGON ((-90.26974240190469 38.56773261123722, -90.27296989647958 38.56390198200216, -90.25930391826094 38.55676443868909, -90.25873176913008 38.55747907259057, -90.25804821556267 38.5582540890261, -90.25729735184575 38.55894925179692, -90.25655376930283 38.55949226565858, -90.25585613775733 38.55988817604494, -90.25521461050093 38.56019374496801, -90.25960084250156 38.56247282812967, -90.25440973796083 38.56854842643553, -90.26911360190917 38.57631380188137, -90.26955330036958 38.57515586415415, -90.27096050367645 38.57294549684899, -90.27146833871149 38.57233163856417, -90.27374684904726 38.5698372028099, -90.26974240190469 38.56773261123722))"
1014.0,2703,2.21,,,,"POLYGON ((-90.25438958028666 38.56849012225171, -90.25956679301454 38.56248022290877, -90.25521778795265 38.56019102340022, -90.25655106183328 38.55948285073874, -90.2572710551571 38.55894680851274, -90.25802676731527 38.55824861431939, -90.25865522938007 38.55752747972072, -90.25928314238062 38.55676901209531, -90.25599822087808 38.55503052607403, -90.2519174480007 38.55844123729639, -90.24878640682499 38.56208979095976, -90.24699599779323 38.56260713563947, -90.24603251921839 38.56409026400442, -90.25438958028666 38.56849012225171))"
1015.0,3126,2.28,,,,"POLYGON ((-90.25707151841212 38.54814383698023, -90.25925878900372 38.54959777653298, -90.26098881196857 38.55065827779791, -90.2559948108934 38.55502496834965, -90.26229986605883 38.55831757979492, -90.26708151317195 38.55419442652238, -90.26603186824438 38.55352601983469, -90.27153671344644 38.55308750722416, -90.27226928680922 38.54883292600202, -90.27304787962487 38.54875483647361, -90.27228961748442 38.54750540938571, -90.27211647677832 38.54655553921289, -90.27183662647975 38.54591380346621, -90.27172735341104 38.54569147581614, -90.27150753930904 38.54448819282614, -90.27101964792676 38.5432447760995, -90.27079817914824 38.54295155719451, -90.27049590146578 38.54144519794878, -90.27111527405306 38.54065537506171, -90.27149431244338 38.53962892945326, -90.27071481122319 38.53865800791226, -90.26942069645531 38.53775539283772, -90.26915648038657 38.53753806479271, -90.25707151841212 38.54814383698023))"
1018.0,3092,2.49,,,,"POLYGON ((-90.24187883312605 38.55946486368055, -90.24315460524296 38.56026892109072, -90.24621090082796 38.5618854797799, -90.24615495893602 38.56199017906636, -90.24620318607433 38.56230113338393, -90.24640549223577 38.56275773435326, -90.24878549879708 38.56209361132673, -90.25191634598232 38.55844416846047, -90.25599747315937 38.55499929972035, -90.26096996617306 38.55065519822033, -90.25708001955401 38.54814958322564, -90.26435310652406 38.54172551364681, -90.26916145728266 38.53754387591967, -90.26871472897351 38.53714596001817, -90.2668952926082 38.53414503242163, -90.26230640726466 38.53386027534224, -90.26076485371672 38.53323501100522, -90.25950342157452 38.53452915306078, -90.2589960941374 38.53536456180989, -90.25860279749641 38.53559501278729, -90.25756112382577 38.53729104288405, -90.25730757957689 38.53788917811183, -90.25701494009539 38.53808433954607, -90.25664603156692 38.53836981383175, -90.25551574151926 38.53954735467912, -90.25513564395095 38.54047461777536, -90.25416029858383 38.54182645639299, -90.25285727669181 38.54388054702488, -90.2522969132952 38.54469121011896, -90.25217002210111 38.54484922807859, -90.25220331782897 38.54593287742578, -90.25146180934128 38.54770205528104, -90.2507124891173 38.54826004972698, -90.25048665509091 38.54867547364935, -90.25013886860775 38.54928057642134, -90.25010216264776 38.54993842338414, -90.24679417099881 38.55345347689102, -90.24573023115511 38.5547604480325, -90.24515491188781 38.55608067147049, -90.24323865860113 38.55808758464928, -90.24187883312605 38.55946486368055))"
1021.0,2780,1.76,,,,"POLYGON ((-90.29695291102263 38.56242016011525, -90.29417175546111 38.56426588420547, -90.28627595223023 38.56906798012706, -90.28508779296956 38.57011918791439, -90.29171554161447 38.57376730948079, -90.3104500967724 38.5756786152337, -90.3072325361214 38.57257793649934, -90.30519438695737 38.57062354657848, -90.30387964362482 38.56920316742469, -90.29695291102263 38.56242016011525))"
1022.0,6028,2.08,,,,"POLYGON ((-90.29171679157318 38.57378702837025, -90.28509209448461 38.57014437799936, -90.2837902891301 38.57131378596782, -90.28456288208352 38.5738561848756, -90.28315225301721 38.57677278220685, -90.28217275934672 38.57843608778142, -90.28159785460285 38.57901104776219, -90.28087248575065 38.5794014553692, -90.27983788719963 38.57986030293603, -90.27936520829903 38.58028262178728, -90.27885840476236 38.58095803567129, -90.28520178300273 38.58160720542238, -90.29193023954903 38.58229916168641, -90.2958125230776 38.5816216124057, -90.31079374764025 38.58314106145139, -90.31132154542766 38.5846397089934, -90.31217227816036 38.58598601579197, -90.31307385528663 38.58693867508739, -90.31621213126853 38.58474377173432, -90.31490555063445 38.58204901961738, -90.31470629966419 38.58155233432551, -90.31442080088638 38.58116117230477, -90.31397737262486 38.57966250392818, -90.31356152671174 38.57877530429899, -90.31043515850938 38.57566710460576, -90.30063210121943 38.57467284686123, -90.29171679157318 38.57378702837025))"
1023.0,1846,2.08,,,,"POLYGON ((-90.28693547569112 38.55557347174546, -90.28306393595295 38.55970610710402, -90.27721737982945 38.56604890600047, -90.28037314997627 38.56729615246077, -90.28286793379337 38.5686756609741, -90.28425047837058 38.56786248143425, -90.28443499257506 38.56793101841065, -90.28586431390642 38.56944381038636, -90.28628461801794 38.56904984683494, -90.29073404075845 38.5663466071471, -90.29415653097405 38.56426234386331, -90.29585850920144 38.56310618480287, -90.29696118268197 38.56240893011596, -90.29327556017746 38.55963613160497, -90.29242197286547 38.55897548473521, -90.28693547569112 38.55557347174546))"
1024.0,2478,2.23,,,,"POLYGON ((-90.28378414273433 38.57133158278128, -90.28250714489792 38.57251593964769, -90.27579785200233 38.57669775183298, -90.27445578665574 38.57731592155397, -90.27340947960859 38.57754068540709, -90.27204010849289 38.57785397574699, -90.26910821476591 38.57632287140812, -90.2683114154747 38.5786442749945, -90.26965988071639 38.57933810763335, -90.2698097352658 38.57916596549843, -90.27049036857316 38.57960744818705, -90.27076421035171 38.57969660421942, -90.27574149870776 38.57974410741915, -90.27708782841714 38.58072964909352, -90.27884917050255 38.5809461466911, -90.27936357843488 38.58027343148181, -90.27983657934335 38.579844482648, -90.28100225869554 38.57931940436795, -90.28156272495302 38.57897472879367, -90.2821529848528 38.57843422740586, -90.28286350276254 38.57725889432616, -90.28400292443918 38.57509116007468, -90.28448061326498 38.57414396116661, -90.28455114244271 38.57389099707183, -90.28378414273433 38.57133158278128))"
1025.0,1918,2.09,,,,"POLYGON ((-90.28037200890788 38.56730191412215, -90.27722388920307 38.5660508487875, -90.27374163342104 38.56984839844028, -90.27101832263205 38.57280443118833, -90.2695390862622 38.57515382577201, -90.26912745228601 38.57632139427789, -90.27204179708356 38.5778506807406, -90.27426197892159 38.57734258290218, -90.27485730644953 38.57714853793798, -90.27623457398317 38.57644081178915, -90.27965535637452 38.57433145177516, -90.28048186341023 38.57382519161005, -90.28208453157757 38.57282708251989, -90.28247056598727 38.57253049115228, -90.2851924422245 38.57001091673283, -90.28585023787609 38.56943905718835, -90.28445126097077 38.56795719113752, -90.28426204209201 38.56786681398922, -90.2828603473115 38.56866741740938, -90.28037200890788 38.56730191412215))"
1031.0,3299,1.85,,,,"POLYGON ((-90.31310728378467 38.58692898915528, -90.31213155161511 38.58599800585086, -90.31131914309465 38.58470527170569, -90.31076381183442 38.58314009240668, -90.30454555672513 38.58251968714706, -90.30368970592788 38.58788888835505, -90.30300842179255 38.59189493255569, -90.30212688173403 38.59233891674028, -90.30944678699835 38.59311048610366, -90.31607926088718 38.59382551743626, -90.31646387870738 38.59202919342891, -90.31957585335323 38.59221788113899, -90.31950801268209 38.59211840823308, -90.31921680946546 38.59124792701392, -90.31620792214673 38.58474442840148, -90.31323968899576 38.58682645275024, -90.31310728378467 38.58692898915528))"
