tract,population,people per household,median income per household,mean income per household,income per capita,geometry
1,26814,,,,,"POLYGON ((-90.26912798241797 38.57631720046631, -90.26944866754133 38.57537626181294, -90.27108320103478 38.5727557707382, -90.27369995955473 38.56984743697813, -90.27721079424052 38.56606293481541, -90.28344023765469 38.55924852641857, -90.28696350988542 38.55558566429343, -90.28616274506437 38.55519516928845, -90.28516915915414 38.5548231407536, -90.28438487128921 38.55444149463386, -90.2837151861635 38.55403922500259, -90.28247729740721 38.5532177218421, -90.28141015295556 38.55245502489777, -90.2795966924286 38.55118942346047, -90.27759786961519 38.5502607927304, -90.27560091338286 38.54976704289565, -90.27508145165896 38.54945331343381, -90.27383937804987 38.54916054480435, -90.27302000582814 38.54875506071478, -90.27231420634558 38.54755806474849, -90.27211472021521 38.54654953409, -90.27170965763429 38.54566070205355, -90.27153095452334 38.54454137972128, -90.2710257024228 38.54325663061016, -90.27081440055404 38.54294727382169, -90.27052520039524 38.54147581396663, -90.27110882611915 38.54064685674085, -90.27154182735001 38.5395978744546, -90.27141410275848 38.53952729544601, -90.27070008899598 38.5386329254098, -90.26939919453045 38.53773996833451, -90.2692227269289 38.53758948986916, -90.26871596480056 38.53714201203896, -90.26690563836756 38.53415082041117, -90.26234267818221 38.53385875024229, -90.26085185506291 38.53324896024932, -90.25909831858066 38.53530823592288, -90.25856750925358 38.53560493403308, -90.25727224184119 38.53785567672507, -90.25684593870059 38.53817374649148, -90.25633359002346 38.53898874435519, -90.25550265890858 38.53955204998751, -90.25531672389688 38.54021563573844, -90.25215150774102 38.54489672802367, -90.2522002405164 38.54592579581552, -90.25145779758108 38.54768503567568, -90.25072243508829 38.54827463681791, -90.25046253421735 38.54871034058481, -90.25013131546166 38.54929307471951, -90.25013614306756 38.54991668415594, -90.24651199702994 38.55379850137419, -90.2453958070041 38.55526486927315, -90.24520593566118 38.55596329503729, -90.24189783606096 38.55943132434943, -90.24315396098851 38.5602641141232, -90.24735400116954 38.56251205457751, -90.24599985228544 38.56409314123112, -90.26912798241797 38.57631720046631))"
2,15139,,,,,"POLYGON ((-90.26829867116506 38.57866559584906, -90.26963600359473 38.57934870483648, -90.26983181510079 38.57921011778352, -90.27050791369673 38.57962392096205, -90.27075930760216 38.57970356360823, -90.27575020108389 38.57973270492818, -90.27593506964304 38.57985191480904, -90.27709110259768 38.58076254399636, -90.28179395604369 38.58126445084714, -90.29192162526483 38.58231196317575, -90.29571612261806 38.58163644086169, -90.30456268649813 38.58257974257637, -90.30931819997731 38.58308118091298, -90.31567729833756 38.58375135007035, -90.31537429121327 38.58297421669446, -90.31485265375066 38.58187016743562, -90.31474206526342 38.58157759554439, -90.31437902901399 38.58109217435807, -90.31402338466722 38.57977159378137, -90.31361740993185 38.57884647213204, -90.30398442880941 38.56938258720447, -90.2970389558113 38.56248473236639, -90.29256053550803 38.55906567986336, -90.28692296151013 38.55554629630408, -90.28346825862096 38.55925721007098, -90.28262495916363 38.560123992279, -90.27120945685191 38.57260908281668, -90.26940924609011 38.57531292909816, -90.26829867116506 38.57866559584906))"
3,14479,,,,,"POLYGON ((-90.28169466769772 38.62317036119182, -90.28299337497667 38.62302807492381, -90.28495983109714 38.62282728520235, -90.28866317262349 38.62235793690516, -90.29188859325545 38.62173230253248, -90.29293495511897 38.62145926358728, -90.29353311826327 38.62125520231879, -90.29440627023362 38.62091365387153, -90.29544446974457 38.62037832916847, -90.29616605194965 38.61990588054893, -90.29716703242102 38.61912227797983, -90.29797220729442 38.61841130977104, -90.29909907655016 38.61747880558526, -90.30013018718373 38.61686685084682, -90.30142140472998 38.61627598909405, -90.30245670942344 38.61591703982383, -90.30347391155813 38.61566451587135, -90.3046146993603 38.61548042169817, -90.3058945641278 38.61532882736526, -90.30692695369827 38.6150876973589, -90.30783877522715 38.61484962435024, -90.3088570479721 38.61439635074651, -90.30961156481584 38.6139541257584, -90.31023000607746 38.6135089208767, -90.313812314807 38.61079189335131, -90.31401898562453 38.61050090842332, -90.31531336322506 38.60738861427012, -90.31572027405639 38.60624754130669, -90.31640592221703 38.60491228347515, -90.3169181745365 38.60290731391075, -90.31741521124736 38.60196684308303, -90.318400501592 38.59918746028683, -90.31894550795808 38.59876461058354, -90.318790596168 38.59856258088183, -90.32051872125635 38.59415178048216, -90.32021759185362 38.59313575127105, -90.31948933204855 38.59212480144372, -90.31921662986727 38.59117756127007, -90.31580941714567 38.58398945783724, -90.31566891727202 38.58373766618013, -90.30455571918317 38.58257721762511, -90.30370004153912 38.58790955213902, -90.30303041794377 38.59191248536709, -90.30197133445662 38.59242836731956, -90.3019711583694 38.5927509384456, -90.3005099045877 38.59748833295201, -90.30004379876723 38.6001667646464, -90.29889067399223 38.60266728982791, -90.29190664798884 38.60195998814236, -90.29164679493901 38.60324270992505, -90.29136236401794 38.60398244993553, -90.29096841488953 38.60454732597644, -90.29023716484208 38.60535635210974, -90.28950399474543 38.60615881381732, -90.28924163586679 38.60644177994793, -90.28894697406649 38.60699766858901, -90.2856429409243 38.60667098317438, -90.28509015484704 38.60929034869616, -90.28460482806237 38.61190961189739, -90.28386354098343 38.61184408719211, -90.28333595903541 38.61471117243006, -90.28286950634066 38.61716645566159, -90.28169466769772 38.62317036119182))"
4,13376,,,,,"POLYGON ((-90.30561399350167 38.63329098091546, -90.30563385263034 38.63350777861147, -90.30632097010002 38.63359345343193, -90.30680622907441 38.6329008177079, -90.30788839577647 38.63206261844653, -90.30872269277933 38.63011809181354, -90.30881378131615 38.62957700063724, -90.30886783048739 38.62838564771049, -90.30910684595824 38.62694924905858, -90.30921662847273 38.62550419336089, -90.30974900210488 38.62308311753381, -90.31000378898113 38.62228123493611, -90.31071949547423 38.61815724265465, -90.31102105691717 38.61766848675558, -90.31195762497991 38.61525893577993, -90.31292384927271 38.613189202794, -90.31319849958535 38.61214030484068, -90.31363188646388 38.61135319119008, -90.3137048688818 38.61095206376774, -90.3137979460848 38.61080815827491, -90.30961973768774 38.6139209648059, -90.30883439021328 38.61437844258639, -90.30782069183337 38.6148398837791, -90.30588806231738 38.61533463603266, -90.3043853280069 38.61551811857078, -90.30342040303383 38.61566689546446, -90.30260852440435 38.61588414572189, -90.30199569307101 38.6160661925704, -90.30128598255827 38.61633996314335, -90.3005175272541 38.61668956347331, -90.29969052209142 38.61712789308713, -90.29908754983221 38.61746983805904, -90.29865297238261 38.61784733022524, -90.29786153629232 38.61851100505365, -90.29699023862362 38.61926207538066, -90.29636116876173 38.61976424117572, -90.2953273682587 38.62044758189469, -90.29444971088076 38.62089642364598, -90.29371065559941 38.62119389895255, -90.29284586090154 38.62148764796848, -90.29179519949214 38.62172666472345, -90.29005791998547 38.62209255834308, -90.28859095943767 38.62237637455586, -90.28637972452439 38.62264355221082, -90.28170047862091 38.62315821369327, -90.28015530898577 38.62338699102875, -90.27473476633415 38.62383839469534, -90.27126896932145 38.62414074754818, -90.2703899372783 38.62412745123444, -90.26958338426694 38.62411422946196, -90.26843556532731 38.62397661783037, -90.26723281024411 38.62372986554812, -90.26553519639631 38.62325879450125, -90.26500494314337 38.62585982756278, -90.26452149621375 38.62878452934506, -90.27123721835362 38.62942121118657, -90.28057669724507 38.63029466180854, -90.28729302212312 38.63096037289505, -90.29648284673851 38.63185741000634, -90.29949470036679 38.63216210680412, -90.30215925702537 38.63243732237158, -90.30452625831799 38.63264777609706, -90.30561399350167 38.63329098091546))"
5,35712,,,,,"POLYGON ((-90.27200710006987 38.66089594474438, -90.27874195452618 38.66447905043444, -90.28987897806201 38.67050712321335, -90.29459907028783 38.66481307807306, -90.29510484907456 38.66347177460837, -90.29610427795345 38.66288931489938, -90.29689382189824 38.66166927134428, -90.29754054008173 38.66099840711989, -90.29705528557479 38.66097250396942, -90.29909336351334 38.6584585685197, -90.30182586267252 38.65557089607972, -90.30190395543241 38.65504023537802, -90.3021225836401 38.65473402704458, -90.30222091481396 38.65352079883407, -90.3025024887814 38.65172653915989, -90.30281188673302 38.65023908339985, -90.30260046107922 38.64984600821187, -90.30270046738306 38.64807132359807, -90.30280687880207 38.64596873075975, -90.30350194997422 38.64517241904628, -90.30383715966074 38.64459146172084, -90.3044231353888 38.64343296392005, -90.30481689953969 38.6417719496386, -90.30501920361012 38.64057597422637, -90.3052486421947 38.63952721855641, -90.30549945640715 38.63859666332756, -90.30560680331689 38.6377177732486, -90.30561099326694 38.63735086938608, -90.30560345527303 38.63636452336073, -90.30589854810545 38.63545789886996, -90.30600995364617 38.63447377985532, -90.30631827156195 38.63359133583727, -90.30564406654128 38.6335050336936, -90.30561617327322 38.63328335598404, -90.30452146178652 38.63264553271046, -90.30433877851809 38.63338882493196, -90.30389824217201 38.63480434987218, -90.30359048882127 38.63652790882031, -90.30334141990667 38.63834576741954, -90.30316760541112 38.63934687761328, -90.3026469742843 38.64151756069265, -90.30196123411024 38.64346196315833, -90.30154207325106 38.64458938695748, -90.30123891397999 38.64599033453538, -90.30096353668405 38.64761453292486, -90.28564814995893 38.64609955444615, -90.28522296539381 38.6486848678712, -90.28297176638976 38.64843947519965, -90.28265747092888 38.65029684265483, -90.28211718199384 38.65353561554533, -90.28212340540514 38.65373620951931, -90.28213023751526 38.65403596206184, -90.28199903688252 38.65490334384395, -90.27893733946298 38.65460315170667, -90.27891175117956 38.65479804126899, -90.27312141454799 38.65422293334071, -90.27263773115011 38.65716874479799, -90.26635869670129 38.65649496272413, -90.26573435311906 38.6602503130507, -90.27200710006987 38.66089594474438))"
6,58588,,,,,"POLYGON ((-90.28019069813166 38.68283859295835, -90.28144670382054 38.68142554133453, -90.28318420264404 38.67910119229662, -90.28328192047609 38.6789091681775, -90.28381329351062 38.67815913391023, -90.28440117777934 38.67756380509478, -90.28589421045203 38.67555500950161, -90.28670596748417 38.67475825897154, -90.28744476569729 38.67374150968092, -90.2881436086378 38.67294820389571, -90.28882757945624 38.67205269226352, -90.28910798591227 38.67136362207703, -90.28985632556743 38.67050416413001, -90.2720508810127 38.660886276459, -90.25847270455399 38.65952401590267, -90.25504916396856 38.65805260109998, -90.25355892841188 38.66020643057439, -90.24820961859537 38.66756822536291, -90.24578325751624 38.6709508291623, -90.24425428081474 38.67309081294314, -90.24572912067576 38.67373326733033, -90.25178936777969 38.6763382565566, -90.25617138272787 38.67823351173099, -90.25826716649178 38.67926489446875, -90.26640940719517 38.68286567481829, -90.26866256858068 38.68427723176351, -90.26928658290505 38.68473837151274, -90.27091673187979 38.68582401283845, -90.27205954887656 38.68651015215991, -90.27252795588721 38.68692202681907, -90.27519297492536 38.68919327742021, -90.28019069813166 38.68283859295835))"
7,31923,,,,,"POLYGON ((-90.24129601820951 38.67188078690955, -90.23975552687514 38.67415644998859, -90.23946790838384 38.6740256550008, -90.23775685479367 38.67637062305027, -90.23722065159571 38.6763636769909, -90.23291759954147 38.67450713012524, -90.23056273280243 38.67781300717424, -90.22785458709677 38.67928169791218, -90.22477942361876 38.6809144132164, -90.22531305088083 38.68165926729987, -90.2258861133421 38.68211138824525, -90.229901678578 38.68415115800726, -90.23625996855921 38.69144862056508, -90.22312794714043 38.69871187935208, -90.22676622329173 38.70195787914028, -90.22875562502963 38.70399311765747, -90.22993931463705 38.70512245575256, -90.2316665532645 38.70680354791844, -90.23336079717086 38.70797594963256, -90.23538077684654 38.7091350992987, -90.23717541067666 38.70991531390899, -90.23930167711326 38.71067120303599, -90.24399704626087 38.71227377239189, -90.24789715778098 38.71355699250678, -90.24961476269691 38.71413396646214, -90.25132129807122 38.71474610202002, -90.25259557718275 38.71529143836501, -90.25387892455875 38.71595560974668, -90.25399718366039 38.71576468825546, -90.25578863516525 38.71387611244718, -90.25635559148243 38.71311126718116, -90.2576248371772 38.71172926976832, -90.26029238244442 38.70846027639715, -90.2639017725629 38.70377152184785, -90.264902281358 38.70214258271959, -90.26530371433925 38.70135111878055, -90.26561702375642 38.7010474917786, -90.26571837186754 38.70084973853285, -90.26591905873086 38.70065355790705, -90.26621439985324 38.70073714653134, -90.26661620139565 38.7001544284642, -90.2671606733909 38.69962640945546, -90.27033753161491 38.69549082964826, -90.27520503356342 38.68923377656496, -90.27204296718438 38.68650684642549, -90.26862102738032 38.68426423989419, -90.26644713695866 38.68288176866163, -90.25828385612211 38.67928839152025, -90.25623539001822 38.67824599519297, -90.24251560795582 38.67239120555661, -90.24129601820951 38.67188078690955))"
8,8387,,,,,"POLYGON ((-90.18398398954972 38.77087468786258, -90.18429642348812 38.769572900581, -90.18452255385814 38.76867816614085, -90.184496879197 38.76792086345433, -90.18549917650647 38.76350323687572, -90.1862719498267 38.76138535879962, -90.18905651928225 38.75803347481666, -90.19088904243056 38.75609804974156, -90.19337935710742 38.7536651891077, -90.1953735284263 38.75130118316009, -90.1955967289128 38.75087204558105, -90.19600592125126 38.75054630072525, -90.19614651473903 38.750273175288, -90.19703593248046 38.74935243058096, -90.20569551936104 38.7417369777414, -90.21037665580349 38.73769674089409, -90.21354755157553 38.73562349803241, -90.21802370000309 38.73355202770917, -90.2196301057687 38.73212091734118, -90.22169875504078 38.73057408162791, -90.22327552065342 38.72960189080648, -90.22414400130833 38.72935633120093, -90.22508658012758 38.72886328551959, -90.22801936024612 38.72815597471059, -90.2300657970509 38.7273924541816, -90.23195030752255 38.72670606940723, -90.23438691969693 38.72576233973026, -90.23522816090663 38.72537985181872, -90.23702575668386 38.72475636015709, -90.23809822338782 38.72427736065374, -90.23870276020497 38.7236521941154, -90.2400621283218 38.72322784880145, -90.24048765521943 38.72334953561495, -90.24380827999279 38.7221637092295, -90.24430952198432 38.72189089008715, -90.24723707885884 38.72074763856703, -90.25173015745781 38.71897955047548, -90.25388538650481 38.71596633356535, -90.25336199109351 38.71568902474713, -90.25155111576368 38.71480834456101, -90.24398128984899 38.71220945319162, -90.23737229021238 38.70994430399053, -90.23559907064009 38.70925053220982, -90.23417128659196 38.70845662755099, -90.23163181624462 38.70678916732982, -90.23107627654529 38.70615399584091, -90.22831965037155 38.70353948379587, -90.22608661866271 38.70134109720197, -90.22312052113196 38.69873953512153, -90.22656546566996 38.69679880633245, -90.23624321645322 38.69145032084141, -90.2299346605747 38.6841862835412, -90.22894049498069 38.68364592722155, -90.22789553178929 38.68410915450677, -90.22174490288589 38.68734207377871, -90.22189874712659 38.6875042024214, -90.21982432962348 38.68862704106888, -90.21760731799571 38.68958793881536, -90.21519154429535 38.6872751212489, -90.21303980894614 38.68835059409425, -90.21057256465632 38.68976026298839, -90.20779798317858 38.69133671186212, -90.2060348444877 38.69295690330781, -90.20715698299283 38.69541985388314, -90.21148200569969 38.70080112261864, -90.21182020672084 38.70187956261638, -90.21290989937283 38.70241357144331, -90.21468725362502 38.70491674389652, -90.21683785452407 38.71136162838431, -90.21711353013843 38.7153569005864, -90.2159359561157 38.72235120133378, -90.21386036805735 38.72804932835962, -90.21406798181069 38.72907541189098, -90.21292142910919 38.73139712932119, -90.21181186453161 38.73280997587536, -90.21099245445161 38.73311847087272, -90.2097925990588 38.73455921344657, -90.20708723239748 38.73683552902583, -90.20411774112569 38.73904678611753, -90.1988375755904 38.74229271348167, -90.19421333839063 38.7450412311004, -90.18762822392739 38.74898186335283, -90.18580342866777 38.75101189916922, -90.18229026964647 38.75591322137959, -90.18170693641837 38.75865796456735, -90.18099159689525 38.7605560721947, -90.17859565397369 38.76601277919296, -90.1775494760936 38.76893655160903, -90.17630978358181 38.77167827432973, -90.17564995565347 38.77282325944145, -90.17514972396928 38.77343870051583, -90.18200296403947 38.77403791124311, -90.18369702018737 38.77433664290909, -90.18398398954972 38.77087468786258))"
9,23576,,,,,"POLYGON ((-90.20048238720177 38.66630854300924, -90.19495838187746 38.66924183601769, -90.18979415713643 38.67110771180396, -90.18874476217063 38.67141590780702, -90.18924418520123 38.67378760185078, -90.18966587396699 38.67448499572062, -90.18982333099163 38.67569739914605, -90.19122253535765 38.677233613898, -90.19210894722721 38.6784361522614, -90.19324306393621 38.67972862681334, -90.19433184556746 38.68134039217135, -90.19591865260365 38.68322522682723, -90.19727496691188 38.684437776976, -90.19830850482842 38.68586917177587, -90.19981616062685 38.68682861199866, -90.20267497483781 38.68924480713145, -90.20508933046277 38.69172001546315, -90.20599015393984 38.69298615280078, -90.20774525892593 38.69135972953152, -90.20994701016289 38.69010787100025, -90.21519597630436 38.68727600005013, -90.21762210280481 38.68959804745141, -90.21986897571756 38.68860063082397, -90.22192153832187 38.68750248361627, -90.22176121225039 38.68733695857261, -90.22781369691026 38.68413930798703, -90.2289018077015 38.68365249782745, -90.2258765156289 38.68212860706097, -90.22531675254069 38.68166960180546, -90.22477900919914 38.68091246161197, -90.23055216270021 38.67781958615178, -90.23066893588491 38.67766696636671, -90.2296932329004 38.67705999269464, -90.22643573873425 38.67511030998209, -90.22535351131623 38.67447296687675, -90.22413606871984 38.67389590178722, -90.22245021200811 38.67319882524426, -90.22223517154323 38.67313463479429, -90.22145691378296 38.67230656388191, -90.2186270917155 38.67115060595384, -90.21566551324462 38.66995788747432, -90.21286393156129 38.66873582679755, -90.2122976400687 38.66960616088307, -90.21109888182058 38.669078608105, -90.20921234208733 38.66774685862512, -90.20872532429587 38.66686500759823, -90.20733989067288 38.66410239509995, -90.20048238720177 38.66630854300924))"
10,38583,,,,,"POLYGON ((-90.21613954482866 38.67015157250775, -90.22147837331136 38.67232266567471, -90.22224270778641 38.67313084597924, -90.22471487542707 38.67415935869462, -90.22549491514974 38.67455130944765, -90.23068536606608 38.67766792801248, -90.23291882168678 38.67451268928733, -90.23722721007449 38.67639255627159, -90.23775654899221 38.6764220788539, -90.23947008477892 38.67401828221819, -90.23974690665572 38.67416452508171, -90.24128070329111 38.67188560072015, -90.2442057196908 38.67313916450338, -90.24821448479695 38.6675771019543, -90.22665754356485 38.65816790783251, -90.22432188272093 38.65715626882904, -90.22469569707681 38.6566183700378, -90.22109295018898 38.6550363079071, -90.21762523227623 38.65337271063107, -90.21321501672332 38.65956281666324, -90.21192228446317 38.66147288027457, -90.21163544573791 38.66182406411637, -90.20841419532206 38.66634855097385, -90.20920366044386 38.66774688984306, -90.21108691081579 38.6690908860038, -90.21230075628603 38.66961442337904, -90.21286404450861 38.66873391734948, -90.21613954482866 38.67015157250775))"
