tract,population,people per household,median income per household,mean income per household,income per capita,geometry
11,51800,,,,,"POLYGON ((-90.2357662804943 38.66215593726483, -90.24818808336831 38.66756137185916, -90.25274433447566 38.66131693798322, -90.2550456890411 38.65806084087714, -90.24956356314179 38.65564858642276, -90.25279637454008 38.65118531226722, -90.23711466909587 38.64429604966229, -90.23628660876349 38.64541594623005, -90.23300434356545 38.64397635828802, -90.22930311423764 38.64235700040325, -90.22598981011078 38.64817678320931, -90.22445839020722 38.64750698901499, -90.21995406643018 38.64656853549329, -90.21997260757729 38.6529828494255, -90.21918657187291 38.65412098517977, -90.22111624777132 38.65504130610315, -90.22468885975377 38.65662219456825, -90.22432169659653 38.65715589567393, -90.2357662804943 38.66215593726483))"
12,33425,,,,,"POLYGON ((-90.27467527874794 38.64502096479273, -90.26552738602074 38.6440892723759, -90.26236591924823 38.64337817710707, -90.25793608506926 38.64248319556928, -90.25700698124891 38.64528114811904, -90.2528120971443 38.65118444200073, -90.24958218321939 38.65564804924962, -90.2585224128747 38.65955923789673, -90.26572266587881 38.66025065730188, -90.26636047942304 38.65652159642272, -90.2726479573212 38.657170602792, -90.27312348374846 38.65423571911294, -90.27890718780313 38.65479669422506, -90.27893943038889 38.65462109243647, -90.28198641740734 38.65491996958534, -90.28213338348858 38.65396783290195, -90.28213260104297 38.65351603254825, -90.28297007376007 38.64846137013733, -90.28522317096922 38.64869923082139, -90.28565604128555 38.6461152346282, -90.27467527874794 38.64502096479273))"
13,16014,,,,,"POLYGON ((-90.26920496427327 38.60504971067945, -90.26781200814793 38.61209688702861, -90.26552588025361 38.62325127710022, -90.26726141063121 38.62373389745666, -90.26845433075532 38.62400633098122, -90.26950935581911 38.62411395732177, -90.27060188973037 38.6241364120485, -90.27180146391615 38.62411860342335, -90.27689342584506 38.62367801886789, -90.28019034607409 38.62338891257401, -90.28171504878678 38.623152234671, -90.28386012913484 38.61183939902384, -90.28461276852536 38.61191711634872, -90.28563595582727 38.60668103637991, -90.28894666665269 38.60699315433197, -90.2892363172528 38.60645190024152, -90.28950505823333 38.60615579046516, -90.29093570493919 38.60461201176079, -90.29137454732744 38.60397812584917, -90.2916570852024 38.60321365397643, -90.29190679995911 38.60196137117402, -90.27022811893821 38.59973817931223, -90.26920496427327 38.60504971067945))"
14,11670,,,,,"POLYGON ((-90.28346064081323 38.60111103168803, -90.29888749480264 38.6026642270586, -90.30006879006805 38.60009183719454, -90.30052511952456 38.59747203776717, -90.30110474509306 38.59552680838911, -90.30196029342549 38.59276540977943, -90.3019707995151 38.59243144370383, -90.30302410381823 38.59190960393424, -90.30456823871445 38.58257653600948, -90.29570009960825 38.58163275550405, -90.29185277765922 38.58230159064209, -90.27886555139344 38.58094751750037, -90.27674084272917 38.58479124868466, -90.27661994188969 38.58509595057515, -90.27630359743225 38.58699535289833, -90.27610887384544 38.58740835508344, -90.2758235664046 38.58783317513774, -90.27136536045862 38.59423285995734, -90.2713239604762 38.59445697478172, -90.27023168920347 38.59973978517049, -90.28346064081323 38.60111103168803))"
15,43543,,,,,"POLYGON ((-90.25961942444003 38.58891837281308, -90.25975568745805 38.58988703973822, -90.26059979501696 38.59329026871719, -90.26134894529028 38.59563986376502, -90.2623321673854 38.59678027394388, -90.26461618808916 38.5984232694955, -90.26592436957507 38.59937707057333, -90.26743753575836 38.60035515459231, -90.2682331954873 38.60067507731652, -90.26995220710577 38.60113404575585, -90.27134571752359 38.59422477936917, -90.27614456858991 38.5873389829498, -90.2763203524288 38.58702298328222, -90.2766114364363 38.58509632640652, -90.27886067180309 38.58095566343847, -90.27709074100439 38.58075543504852, -90.27592092180372 38.57983684694155, -90.27575697076762 38.57973455100062, -90.27075506583897 38.57969630630294, -90.27055304012379 38.57963696520925, -90.26982367625857 38.57921221141472, -90.26963973600597 38.57934708217487, -90.26830528312513 38.57866591747723, -90.26910980350281 38.57632304100943, -90.24601347377893 38.56408559461889, -90.24733563924448 38.56247609115417, -90.24332196498173 38.56040028879688, -90.24188363452623 38.55939259872651, -90.24017135171042 38.56112274816966, -90.24006161936757 38.56187026886582, -90.23749772554406 38.56487730859204, -90.23473153189593 38.56854950815412, -90.23290723842069 38.5712271174074, -90.23026661810113 38.5733050124041, -90.2299510090233 38.57383122961832, -90.22854890185693 38.57416479270317, -90.22489998516414 38.57731766878211, -90.22323989918171 38.57845774360779, -90.22018288951722 38.58036752388064, -90.218841574397 38.58145608333466, -90.22769625388128 38.58252324744206, -90.24489379290347 38.58469943586742, -90.24500786019856 38.58525205110573, -90.2518686706631 38.58599174264354, -90.25245264787701 38.58622713518088, -90.25311120966572 38.58548571116565, -90.25961942444003 38.58891837281308))"
16,38766,,,,,"POLYGON ((-90.26739433405038 38.60034776573345, -90.26230769265365 38.59679106928017, -90.2613695285493 38.59562098452596, -90.26033618768457 38.59223918864403, -90.25976749980778 38.58998624151972, -90.25962199139502 38.58893608925994, -90.25309809467312 38.58549444535604, -90.25247651728618 38.58617488910924, -90.25184114410348 38.58598223926138, -90.24501043456564 38.58525776263681, -90.24488455037388 38.58470366401635, -90.23907775639923 38.58396199232139, -90.2383448087843 38.58755128626124, -90.2360725604555 38.58725891633014, -90.23459721749477 38.59443079428572, -90.23345112087068 38.59429245872382, -90.23307669128997 38.59607566345944, -90.23203865192826 38.60108261947714, -90.23129710583365 38.60474880927698, -90.23349506150784 38.6052831966092, -90.24156811771512 38.60628561899921, -90.24139800278017 38.60720135030725, -90.25794139706025 38.6087657996999, -90.26827327498577 38.60976080688116, -90.26919585230088 38.60502021429128, -90.26995583882615 38.60114729794421, -90.26739433405038 38.60034776573345))"
17,37473,,,,,"POLYGON ((-90.26094797784206 38.61993825798318, -90.26162692406999 38.62011959534465, -90.26581791335619 38.62056063151402, -90.26606990285457 38.62059059812025, -90.26830450662271 38.60976118034085, -90.24142943646405 38.60716634916992, -90.24155928917791 38.60629692569501, -90.23347554935604 38.60527795467013, -90.23324950640922 38.60522649694863, -90.23130591919883 38.60475168002338, -90.23015743870332 38.60444436837849, -90.22709888770918 38.6192222149018, -90.23862681791699 38.6206941175666, -90.24002293396332 38.62084246626, -90.24030588580855 38.62083892468819, -90.24177180371024 38.62103918975033, -90.24438928679372 38.62129452042587, -90.2471411808838 38.6215537685358, -90.24752550239458 38.61884118895151, -90.25015339429939 38.61907347514067, -90.25843371262185 38.61984058146012, -90.25926524861217 38.619164334333, -90.26094797784206 38.61993825798318))"
18,30546,,,,,"POLYGON ((-90.25926170574114 38.61916855523359, -90.25842205630721 38.61984671513354, -90.24754992373323 38.61884545013093, -90.24712988716657 38.62155773524062, -90.24219545422358 38.62109789677553, -90.24008329663151 38.62084950392774, -90.23858212447647 38.62068770070572, -90.22940578746042 38.61952230052444, -90.22639299463738 38.61913206304467, -90.22600666697721 38.62022217756986, -90.2251639001319 38.62271804540976, -90.22488065420499 38.62356032875799, -90.22443732623145 38.62423851190815, -90.22266130145553 38.62738415480413, -90.22145237411438 38.6311069659771, -90.22045088334163 38.63112815981186, -90.22027110807062 38.6316358959718, -90.22292348474133 38.63215865876266, -90.23378765378426 38.63444072719238, -90.25153087714536 38.63811657083736, -90.25243228067714 38.63548935366863, -90.25971971881613 38.6370200434875, -90.26604081533675 38.63808714464351, -90.26640563471744 38.63580332462124, -90.26657052333398 38.63437423180782, -90.26641741514049 38.63303197738193, -90.26610136895765 38.63191295738527, -90.26518881826068 38.63040066123069, -90.26467078360029 38.62952983559461, -90.26455456960178 38.62876318157899, -90.26606242640514 38.62059277403164, -90.26157757575322 38.62011020820285, -90.26115289279605 38.62002247578992, -90.25926170574114 38.61916855523359))"
19,27648,,,,,"POLYGON ((-90.23624467094106 38.64542178511824, -90.23709758279655 38.64431735770322, -90.24329859817018 38.64699711617901, -90.25279536722687 38.65117933687981, -90.25700048226183 38.64527561623285, -90.25793305238331 38.64248848358378, -90.2617356727567 38.64325784489498, -90.26487972642452 38.64389356965862, -90.26506387204715 38.6435837736805, -90.26546896345991 38.6411164664819, -90.26603965910169 38.63807958090364, -90.25244327233654 38.63549493495526, -90.25156914573894 38.63812179335126, -90.23379286864835 38.6344350155869, -90.23276310296256 38.63725401908663, -90.23221261189101 38.63815944422454, -90.22994663691885 38.64122797887872, -90.2292758735487 38.64237580089547, -90.23624467094106 38.64542178511824))"
20,26081,,,,,"POLYGON ((-90.21321811899452 38.65962667509184, -90.21762916173697 38.65337342376235, -90.21920995863096 38.65412384817019, -90.21995540562898 38.65299098645997, -90.21994697851105 38.64655672786061, -90.21283698252449 38.6450716600279, -90.20530808347212 38.64349270582169, -90.20507264198771 38.64442646383257, -90.20446130727348 38.64630244554655, -90.2044201079038 38.64670275757634, -90.20283837321274 38.65122904814919, -90.20164359438245 38.65480473204726, -90.20247037192532 38.65499818027247, -90.20277961421149 38.65552479606558, -90.20331473076521 38.65622816555208, -90.20359277785781 38.65652821565774, -90.20501803924866 38.65938690076851, -90.20843933367203 38.66627283687611, -90.21321811899452 38.65962667509184))"
