tract,population,people per household,median income per household,mean income per household,income per capita,geometry
1,25139,,,,,"POLYGON ((-90.22842495029894 38.7002752774963, -90.22971499523265 38.69958474242441, -90.2308182724754 38.69898775926184, -90.23109371789454 38.69880173522233, -90.23181576280855 38.69790552974896, -90.23855878056528 38.69418282240897, -90.2344374431283 38.68935532402659, -90.24166024054564 38.68536750169381, -90.24282793341689 38.68408653028011, -90.24524142929894 38.68055868803745, -90.24818841377576 38.67633545801613, -90.24849702895102 38.6749108090241, -90.24425190030701 38.67306971163582, -90.24820324155461 38.66756174664746, -90.24044893036034 38.66419447980553, -90.23799760808359 38.66765301647143, -90.22816574039493 38.66334333506859, -90.22664341363085 38.66545371866484, -90.22886927558679 38.66644838150886, -90.22630029898144 38.67005682022611, -90.22543304818949 38.67123756133861, -90.22368881270391 38.67370708931618, -90.22293254193089 38.67339174217221, -90.22256354694201 38.6735828555922, -90.22005641493335 38.67487347819972, -90.21892037391757 38.67364106968716, -90.21819365308963 38.67330674935896, -90.2184692327429 38.67301487649527, -90.21962609021567 38.67155265494664, -90.21566056346749 38.66995851350017, -90.21286616765107 38.66872888733108, -90.21224277800904 38.66958225151345, -90.21108637819452 38.66906651519047, -90.20920678336195 38.66775261097118, -90.20872682542672 38.66686770862996, -90.20668619103593 38.66752953450268, -90.20363320114178 38.6684877090553, -90.20187012347606 38.66831559152488, -90.20165524490629 38.66819149662128, -90.20046365655732 38.66635668246777, -90.19526251583198 38.66914265433219, -90.19498392683965 38.66927167281935, -90.18981947293253 38.6711044199678, -90.1887631052619 38.67147413059899, -90.18908876361402 38.67276703094338, -90.18930349878157 38.67383836713455, -90.18969766031758 38.67454541022683, -90.18984614547406 38.67565661235675, -90.19135000502961 38.677387041539, -90.19209327371975 38.67837840340994, -90.19329564741288 38.67982420075009, -90.19392515338407 38.68071195182361, -90.19482184417463 38.68186401294297, -90.19592463491519 38.68319595906926, -90.1973208504746 38.68450697613628, -90.1982797395812 38.68585574970555, -90.19976168212312 38.68681960751949, -90.20260280618575 38.68921888205566, -90.2051306348739 38.69178546323874, -90.20591113799446 38.69285237739481, -90.20716729931108 38.69537576312148, -90.2115397812788 38.70093120685875, -90.21177566318147 38.7018233639582, -90.21292512649096 38.70245785008797, -90.21469589083299 38.70486448316937, -90.21595726161445 38.70854640509999, -90.21686010045848 38.71128001088724, -90.21715588988029 38.71537665537171, -90.21581612149346 38.72241676690467, -90.21388399096739 38.72808562704048, -90.21408280198735 38.72907396643633, -90.21300963235512 38.73126061379638, -90.21185713265993 38.73276641907005, -90.21099479688085 38.73309739402819, -90.20984608923824 38.73447895597327, -90.20679269747735 38.73699872692112, -90.20375956140978 38.73928620800931, -90.20076917694399 38.74122493726842, -90.19777334455621 38.74295676474811, -90.19467829577749 38.74474585962982, -90.19130368948829 38.74668870006163, -90.18773476796191 38.74896089151534, -90.18575898511423 38.75103315827117, -90.18227917804391 38.75583028733487, -90.18164759302273 38.75855033869288, -90.18037199455118 38.76206702486266, -90.17846726869666 38.76611974788215, -90.17763204374128 38.76866724997112, -90.17682269044157 38.77041299952475, -90.17616699387362 38.7717250625385, -90.17560736246669 38.77292609684517, -90.17509222333618 38.77342496661539, -90.18176507206012 38.77403955224816, -90.18204018733779 38.77405868500399, -90.18370232588566 38.77433189134312, -90.18380165724824 38.77238783700598, -90.18401094493777 38.77086131667333, -90.18429507498907 38.76966920139301, -90.18429443324341 38.76947062943307, -90.18450292261404 38.76865042148491, -90.18449264035937 38.767969573595, -90.184587938394 38.76770930469544, -90.18535575798447 38.76415030393923, -90.18550332316246 38.76342013145388, -90.18629094120961 38.76136451544036, -90.1879097140614 38.75935358956173, -90.18977370301981 38.75725892444914, -90.19298966280864 38.75404716430144, -90.19536282080767 38.75130938616353, -90.195595246381 38.75087139688108, -90.1960109480099 38.75054284850246, -90.19620191494273 38.75015893644341, -90.2025485594294 38.74447200585547, -90.21074024931676 38.73743566325026, -90.21352721257429 38.73565510698216, -90.21800897288772 38.73354657556472, -90.2216914590968 38.73055555536531, -90.22211616371342 38.73034958073258, -90.22318206519542 38.72965779601309, -90.22409381451756 38.72936009265156, -90.2251182578761 38.72887127853007, -90.22795346663213 38.72815886870677, -90.23211433620857 38.72664921035423, -90.23430605978405 38.72580115021565, -90.235353800471 38.72531155270444, -90.23696310119342 38.72477050857348, -90.23812220963336 38.72425589363942, -90.2387010177795 38.72366069050248, -90.23999443963204 38.72325204635522, -90.24049403185768 38.72335094118538, -90.24376284686537 38.72216347042961, -90.24617675869318 38.72110402392805, -90.24739726081592 38.72070777875231, -90.24843825625977 38.72025473930053, -90.25007397276732 38.71969025760114, -90.25170171055859 38.71896593092503, -90.25196423928189 38.71864166267103, -90.252745242106 38.71769681749693, -90.25386358192429 38.71594290269481, -90.25300131526348 38.71549146337028, -90.25202599987415 38.71504134692038, -90.25073186954653 38.71453269626141, -90.24809438243949 38.71364242174248, -90.24444639721717 38.71243055408361, -90.24057003110093 38.7111345160657, -90.23697663807276 38.70982963940012, -90.2349610676206 38.70894372171225, -90.23311249805153 38.70790933702916, -90.23121928511414 38.70644478559217, -90.23012247098508 38.70530062520123, -90.23005540818808 38.70446943896001, -90.22983953461264 38.70354670203037, -90.22842495029894 38.7002752774963))"
2,21030,,,,,"POLYGON ((-90.20276275215438 38.66561101509981, -90.20022653831045 38.66097871875095, -90.20143566380357 38.66055153860348, -90.19935819353789 38.65643867648872, -90.19934750527028 38.65539986873932, -90.19968786296702 38.65442542240175, -90.19468628115077 38.6533707079456, -90.19457274831275 38.65324378104939, -90.19412133145832 38.65236420987873, -90.19136387152828 38.64688592973719, -90.1937444499452 38.64614289294885, -90.19610450000694 38.6454156672147, -90.19574796503828 38.64464112941501, -90.1933340354412 38.64539113077461, -90.19291739803576 38.64463677984765, -90.19060714406777 38.64534904961399, -90.19043064804187 38.64495708383311, -90.18881169418836 38.6441887782528, -90.18648402538321 38.64365514967324, -90.1854947868502 38.64387412514704, -90.18423983591543 38.64424751393452, -90.18266520616976 38.64470895833118, -90.18183906959837 38.64493553253961, -90.18204930129635 38.64590895366238, -90.18215011613749 38.64889823288435, -90.18196186511139 38.64919739901266, -90.18265506873941 38.65285663720061, -90.1831504871034 38.65447474567328, -90.18339399873224 38.65462362816973, -90.18378348619258 38.65529371953505, -90.18450747636571 38.65828043387592, -90.18512361984853 38.66001369277846, -90.18498786243391 38.66112659589616, -90.18537646912385 38.66219739482159, -90.18565290741577 38.66278165443367, -90.18641861211249 38.66498478357674, -90.18675280946556 38.66518928299156, -90.18764166699761 38.66750530950299, -90.18765481817589 38.6679920246206, -90.18793881956282 38.66823428028258, -90.18817618368629 38.66871008361056, -90.18836188179039 38.66990222388442, -90.18875884591493 38.67147699926622, -90.19163491789364 38.67046543952616, -90.19499668313351 38.66928464599818, -90.20046598884261 38.66638473189067, -90.20276275215438 38.66561101509981))"
3,22958,,,,,"POLYGON ((-90.18184728823978 38.64493531415451, -90.18398286232102 38.64436600325058, -90.1855416945205 38.64387354037647, -90.18648501297454 38.64365794752445, -90.18883051711238 38.64421553142871, -90.19041387092948 38.6449842439939, -90.19045185806785 38.64462507651883, -90.19180508226202 38.64066362009898, -90.19620466669264 38.64159954418269, -90.19704293661158 38.63909874494726, -90.19486150585139 38.63866645121271, -90.19557150039337 38.63640954755029, -90.19335616950249 38.63594777244786, -90.19494743536563 38.63138791372269, -90.18819794162849 38.62997289041328, -90.1869881444462 38.62973954806777, -90.18598185854545 38.62962523589024, -90.18557485000713 38.63099732099283, -90.18556315802441 38.63175219531105, -90.18566498515905 38.63247267294381, -90.18568901326655 38.63307365244123, -90.18571076248939 38.63426285470581, -90.18380043598735 38.63408386672251, -90.18255429239188 38.63395761865836, -90.18097056958362 38.63383853116253, -90.18075653987998 38.63553592837796, -90.18060100969106 38.6366357292342, -90.18082505801607 38.63907328260381, -90.18097332597162 38.64066097742199, -90.18141782520148 38.64272637857223, -90.18184728823978 38.64493531415451))"
4,12212,,,,,"POLYGON ((-90.18097727723152 38.6338401773294, -90.18255334967276 38.63395653144327, -90.18570837620814 38.6342694313951, -90.18568125622842 38.63249678812086, -90.18556274696793 38.6317508019475, -90.18558827594197 38.63102718614049, -90.18598243861949 38.62964274388622, -90.18696958895266 38.62974182986463, -90.1949361824559 38.63139406421305, -90.19441034164727 38.63285024772185, -90.19615677749613 38.63322265967723, -90.19597379669253 38.63375900523342, -90.19670257964442 38.63390081604668, -90.19719823214535 38.63242562143908, -90.19919128494229 38.63283092894464, -90.20163644094418 38.6333445277691, -90.200926213785 38.63535348234405, -90.20391376255111 38.63598084449203, -90.20425236130167 38.63497636224614, -90.20459066973778 38.63396408509245, -90.2033692446623 38.63372087840884, -90.20375009394591 38.63263573814098, -90.20390795861728 38.63258163323765, -90.20464335738161 38.63038179310181, -90.20191488918952 38.6298376266765, -90.20136174020841 38.63151863574679, -90.19999070130358 38.63123959491014, -90.19980140510953 38.63178955180031, -90.1984893648536 38.63151750772976, -90.19925824203396 38.62929565566656, -90.19972735673147 38.62776189129615, -90.19824018742119 38.62743282374034, -90.19771893453843 38.62895030764474, -90.19493743418151 38.62836602430021, -90.19159381214985 38.62752793622987, -90.19223987846532 38.62595355960188, -90.18394681906994 38.62400978513199, -90.18377788077356 38.6246020061017, -90.18281517102004 38.62738113149959, -90.18122363970109 38.63187652232359, -90.18097727723152 38.6338401773294))"
5,12349,,,,,"POLYGON ((-90.18396414905349 38.6240168204595, -90.1874398877284 38.6248304671504, -90.19223400438932 38.62595404703881, -90.19160023863996 38.62753505741149, -90.19491467389531 38.62836661146572, -90.1977178030024 38.6289478374447, -90.19824706391692 38.62743701747348, -90.19972160826899 38.62777951628593, -90.19848682349019 38.63151963017945, -90.19980398627845 38.63179383200701, -90.19999874026493 38.63124867900959, -90.20136138246689 38.63152191610484, -90.20191638212019 38.62984352400292, -90.20055654666538 38.6295525608048, -90.20192374274264 38.62592016815542, -90.20469290174488 38.62649899199636, -90.20580872089313 38.6235881000075, -90.20311334736597 38.62294520526663, -90.20078431614674 38.62239117978606, -90.19991066760078 38.62203894982529, -90.19938967717478 38.62171399969717, -90.19871278707802 38.62151957707797, -90.19344530905185 38.62019683511212, -90.19120038073781 38.61961848970905, -90.19069090822209 38.62042709873576, -90.18964994965415 38.62001210665608, -90.18859831044192 38.61965171550892, -90.18745197915231 38.61928031407028, -90.18624222979493 38.61896177229027, -90.18580662702307 38.61885244386352, -90.18538059050999 38.61993313315536, -90.18460752738926 38.62218783498515, -90.18421846265663 38.62324953409465, -90.18396414905349 38.6240168204595))"
6,19140,,,,,"POLYGON ((-90.18581168624623 38.6188440286845, -90.18741732990014 38.6192719183594, -90.18873967217864 38.61970210081363, -90.18974886609304 38.62006307538816, -90.19036454837449 38.62030487898924, -90.1906918846247 38.62043343644618, -90.19120615639417 38.61962358355703, -90.19938889140271 38.62170444326519, -90.19977688774451 38.6219771400948, -90.20025585731985 38.62218430187927, -90.20076241871277 38.62238654848004, -90.20579325573425 38.62360362587651, -90.20850133583029 38.6242775568474, -90.20953498781867 38.62449420314784, -90.21041951620127 38.62460150774461, -90.21126233521861 38.62455920694016, -90.21436080029001 38.6242934759464, -90.21526331713952 38.62155678760063, -90.20766470954626 38.61994041274282, -90.2087736990879 38.61677722288605, -90.20893428925321 38.61661105508578, -90.20907731950413 38.61618043124027, -90.20514485156784 38.61503561389973, -90.20493116354837 38.61553426337576, -90.2034286479926 38.61519930827608, -90.20321477681618 38.6150935530197, -90.19926518889159 38.61425790524074, -90.19917840794321 38.61445430427761, -90.19469249552886 38.61355160108228, -90.19310992922406 38.6130011002016, -90.19224835820306 38.61283217214785, -90.19171226193305 38.61254687140494, -90.1908060808199 38.61235891197776, -90.18837044741225 38.61165832492713, -90.18782724781498 38.61260473225923, -90.18770775763429 38.61343646108418, -90.18680507905034 38.61550031149708, -90.18699576672827 38.61582755470985, -90.18636841330215 38.61743815705627, -90.18581168624623 38.6188440286845))"
7,22626,,,,,"POLYGON ((-90.20491244003441 38.61552461989974, -90.20515601595437 38.6150431014665, -90.21009299128549 38.61646615976955, -90.21010539737098 38.61624138366601, -90.21068095581316 38.6135690625234, -90.20785912577244 38.61321144585869, -90.21062314358355 38.61014276544763, -90.20778675578293 38.60932965306272, -90.206557804563 38.61092112155549, -90.2064175175516 38.61105225833393, -90.20534388855799 38.61221902713105, -90.19952206241416 38.60895573105519, -90.20187830503728 38.60636648984869, -90.19938631760721 38.60565554023895, -90.20041014736992 38.60350412517433, -90.1941215791332 38.60156272269034, -90.19216713699942 38.60477093060909, -90.19115317474616 38.60654554008522, -90.19036580776607 38.60864049356231, -90.18933680395804 38.61008514788156, -90.18836760812302 38.61166779188935, -90.18938743085302 38.61194928690676, -90.19080986208753 38.61236432178587, -90.19173298225904 38.61255669233051, -90.19223350195922 38.61282398706468, -90.19312591728539 38.61300268250255, -90.19469906278511 38.61355444245515, -90.19864936760719 38.61435103990712, -90.19917276869148 38.61447671717928, -90.19927099743312 38.61425867689132, -90.20323197036119 38.61509880379495, -90.20343637936811 38.61520401100105, -90.20442576001774 38.61542388600095, -90.20491244003441 38.61552461989974))"
8,21012,,,,,"POLYGON ((-90.19411469956138 38.60156426706956, -90.20040468403869 38.60349174125279, -90.19937217705002 38.60564296950731, -90.20184984679604 38.60639518764184, -90.19951980248959 38.60895606064838, -90.2053370472657 38.61223224314995, -90.2065377736434 38.61094641229305, -90.20778946489413 38.60934435386939, -90.20865181616635 38.60745569039634, -90.20907754143158 38.60650298065038, -90.20990946479107 38.60461098912556, -90.21034104091719 38.60367956034762, -90.21072306541072 38.60286253026504, -90.21173930137165 38.60314867601494, -90.21221109264751 38.60212064257213, -90.21354652618588 38.60029901320416, -90.21455442869576 38.6005751758886, -90.21461024391614 38.60046653775068, -90.21487966320917 38.59934327778925, -90.21503116226891 38.59854669739249, -90.21170248711245 38.5975873739305, -90.21157011919138 38.59751440040414, -90.21085265538801 38.59844263779947, -90.21036631463041 38.59807881227546, -90.20989061261231 38.59785820029951, -90.20899731504126 38.59734441017426, -90.20854463465442 38.59790292699731, -90.20808587374931 38.5987773071022, -90.20767912203738 38.59984335312363, -90.20713294613336 38.6007020670491, -90.20644930267976 38.60166933229083, -90.20225718332632 38.5994582798142, -90.19865495373432 38.59752001168604, -90.19777096026559 38.59709448669549, -90.19490834608405 38.60025625457492, -90.19411469956138 38.60156426706956))"
9,21026,,,,,"POLYGON ((-90.19776769184764 38.59709865932268, -90.2064563458072 38.60166549731863, -90.20738847375343 38.60031844718638, -90.20767555083873 38.59988444016901, -90.20810437886065 38.59875311642953, -90.20857022788468 38.5978683542973, -90.20900120132373 38.59734672473832, -90.2099227639505 38.59787656358482, -90.21034922874507 38.59807420346542, -90.21086002942366 38.59845859806951, -90.21155903788167 38.59751886717241, -90.21170658051263 38.59759822670228, -90.21503186794381 38.59854363389901, -90.21460949844524 38.60045943099713, -90.21455162738138 38.60057925097064, -90.2234146376157 38.60309173574965, -90.22427381532532 38.59892754093381, -90.22507479923554 38.59507319993649, -90.22620051738406 38.58970410478589, -90.22202971583815 38.58918540824672, -90.22142160201217 38.58930853234804, -90.22048340159122 38.5894735726211, -90.21961133475561 38.58959473321111, -90.21864515157246 38.58976684807148, -90.21672461161377 38.59046851995028, -90.21349078724901 38.58737654850979, -90.21188352224415 38.58590999899325, -90.20822225937093 38.58812893466192, -90.20517087425071 38.59051484837681, -90.20213664792269 38.59289038911157, -90.19776769184764 38.59709865932268))"
10,25978,,,,,"POLYGON ((-90.21189464547035 38.5859200993152, -90.21672315065557 38.5904757987206, -90.21858539987679 38.58979540858542, -90.22008745344233 38.58953727034035, -90.22121456645397 38.58935252151196, -90.22204588941342 38.58918263563396, -90.22619757385682 38.58971066949404, -90.22304317923523 38.60489081964047, -90.22432734475044 38.60434437649671, -90.2265316636303 38.60338465589246, -90.22701857171367 38.60355369476507, -90.23129932338355 38.60473106450253, -90.23204567051951 38.60108388013937, -90.23484343714914 38.60178274023111, -90.23538095830519 38.60186059996659, -90.24212193334456 38.60267621170711, -90.24226412920422 38.60270986155231, -90.24498946369296 38.58525946826899, -90.24423442316909 38.58075242490013, -90.24591045172912 38.57860461013689, -90.24219217629242 38.57669250412662, -90.24205366412156 38.57698389770814, -90.23600551574199 38.57622612400471, -90.22739399507581 38.57516111613494, -90.22479585722117 38.57740265461204, -90.22148925546128 38.57957809389206, -90.22072324581735 38.58008778593563, -90.22027839838819 38.58024760028545, -90.21810574029912 38.58210705150988, -90.21484381991385 38.58368356435623, -90.21370612561125 38.58483768700673, -90.21189464547035 38.5859200993152))"
